college_name,city,district,state,country,college_type,ownership,established_year,official_website,official_admission_url,ug_fee_inr,pg_fee_inr,Rating,Academic,Faculty,Infrastructure,Accommodation,Placement,Social_Life,nirf_2025_rank,College_Name,State,UG_fee,PG_fee,nirf_2025_ss,nirf_2025_fsr,nirf_2025_fqe,nirf_2025_fru,nirf_2025_pu,nirf_2025_qp,nirf_2025_ipr,nirf_2025_fppp,nirf_2025_gph,nirf_2025_gue,nirf_2025_ms,nirf_2025_gphd,affiliation,autonomous_status,naac_grade,accreditation,official_contact_email,official_phone,address,maps_url,campus_area_acres,hostel_available,hostel_fee_inr,library_available,labs_available,sports_facilities,clubs_societies,average_package_lpa,highest_package_lpa,median_package_lpa,placement_rate_percent,placement_year,recruiter_count,top_recruiters,internship_info,placement_source_url,placement_source_year,review_score_5,review_count,review_source,review_source_url,review_year,courses,popular_branches,degree_types,course_duration,entrance_exams,eligibility,cutoff_info,admission_process,application_url,fees_source_url,fees_source_year,college_description,pros,cons,collegeiq_score,data_last_verified,existing_dataset_source,nirf_source,data_status,online_verification_status,online_verification_note
Karunya Institute of Technology and Sciences,,,Tamil nadu,India,,,,,,213500,121500,7.9,7.9,7.9,8.5,7.9,7.5,7.4,,Karunya Institute of Technology and Sciences ,Tamil nadu,"2,13,500","1,21,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Kumaraguru College of Technology,,,Tamil nadu,India,,,,,,50000,50000,8.2,8.3,8.0,8.8,7.6,7.9,8.5,,Kumaraguru College of Technology ,Tamil nadu,"50,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"VEL Tech, Chennai",,,Tamil nadu,India,,,,,,50000,,8.2,8.5,8.1,7.8,8.5,8.3,8.1,,"VEL Tech, Chennai ",Tamil nadu,"50,000",--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Mepco Schlenk Engineering College, Sivakasi",,,Tamil nadu,India,,,,,,134000,104150,8.1,8.5,8.3,8.6,8.1,7.9,7.0,,"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,"1,34,000","1,04,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Government College of Technology,,,Tamil nadu,India,,,,,,9180,10110,8.1,8.4,8.3,8.0,7.1,8.0,8.8,,Government College of Technology ,Tamil nadu,"9,180","10,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Hindustan Institute of Technology and Science,,,Tamil nadu,India,,,,,,229500,125500,7.6,7.8,7.8,7.9,6.9,6.9,8.0,,Hindustan Institute of Technology and Science ,Tamil nadu,"2,29,500","1,25,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Sri Krishna College of Engineering and Technology,,,Tamil nadu,India,,,,,,50000,50000,8.1,8.2,8.2,9.0,7.4,8.2,7.7,100,Sri Krishna College of Engineering and Technology ,Tamil nadu,"50,000","50,000",14.0,28.9,12.78,12.79,940.0,9.95,2.5,0.51,36.08,15.0,1144.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Kongu Engineering College,,,Tamil nadu,India,,,,,,60000,65000,8.3,8.3,8.3,8.9,7.7,8.3,8.3,,Kongu Engineering College ,Tamil nadu,"60,000","65,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Bannari Amman Institute of Technology,,,Tamil nadu,India,,,,,,60000,35000,8.3,8.2,8.0,9.1,8.1,8.1,8.2,,Bannari Amman Institute of Technology ,Tamil nadu,"60,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Sona College of Technology, Salem",,,Tamil nadu,India,,,,,,200000,229000,8.1,8.5,8.3,8.3,7.3,7.9,8.5,,"Sona College of Technology, Salem ",Tamil nadu,"2,00,000","2,29,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Tamil Nadu Veterinary and Animal Sciences University,,,Tamil nadu,India,,,,,,21415,33325,8.3,8.4,8.4,8.2,8.0,8.2,8.4,,Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,"21,415","33,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"St. Joseph College Of Engineering, Kanchipuram",,,Tamil nadu,India,,,,,,60000,65000,8.0,7.0,,9.0,,8.0,,,"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,"60,000","65,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Saveetha Engineering College,,,Tamil nadu,India,,,,,,85000,60000,8.0,8.1,8.1,8.6,7.3,7.7,7.9,,Saveetha Engineering College ,Tamil nadu,"85,000","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Sri Sairam Engineering College, Chennai",,,Tamil nadu,India,,,,,,50000,25000,7.7,8.4,7.9,8.2,7.3,7.9,6.7,,"Sri Sairam Engineering College, Chennai ",Tamil nadu,"50,000","25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
B.S. Abdur Rahman Crescent Institute of Science,,,Tamil nadu,India,,,,,,85000,40000,8.2,8.4,8.3,8.7,7.8,7.7,8.2,,B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,"85,000","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Sri Ramakrishna Engineering College,,,Tamil nadu,India,,,,,,55000,60000,8.1,8.4,8.0,8.3,7.7,8.3,8.0,,Sri Ramakrishna Engineering College ,Tamil nadu,"55,000","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Rajalakshmi Engineering College,,,Tamil nadu,India,,,,,,50000,50000,7.8,8.1,8.1,8.0,6.3,8.3,7.7,,Rajalakshmi Engineering College ,Tamil nadu,"50,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Sri Venkateswara College of Engineering,,,Tamil nadu,India,,,,,,65000,60000,8.2,8.4,8.4,8.6,7.4,8.1,8.0,,Sri Venkateswara College of Engineering ,Tamil nadu,"65,000","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
IIT Bombay,,,Maharashtra,India,,,,,,228000,32000,8.9,9.3,8.7,8.9,7.9,9.1,9.2,3,IIT Bombay ,Maharashtra,"2,28,000","32,000",18.5,26.28,16.97,26.22,30.64,30.23,14.0,9.93,32.5,13.88,20.67,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Institute of Chemical Technology,,,Maharashtra,India,,,,,,85350,70750,8.7,9.1,8.9,8.7,8.1,8.4,9.1,41,Institute of Chemical Technology ,Maharashtra,"85,350","70,750",11.5,28.08,18.48,18.3,17.85,19.08,7.0,642.0,29.43,15.0,13.64,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Visvesvaraya National Institute of Technology,,,Maharashtra,India,,,,,,149200,93600,8.1,8.3,8.0,8.4,7.5,7.7,8.7,,Visvesvaraya National Institute of Technology ,Maharashtra,"1,49,200","93,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
College of Engineering,,,Maharashtra,India,,,,,,40500,64500,8.6,8.7,8.1,8.5,8.2,8.7,9.1,,College of Engineering ,Maharashtra,"40,500","64,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Defence Institute of Advanced Technology,,,Maharashtra,India,,,,,,153600,45000,8.8,9.0,8.8,9.0,8.6,8.6,8.6,92,Defence Institute of Advanced Technology ,Maharashtra,"1,53,600","45,000",3.78,27.38,16.57,20.97,13.01,12.23,1.0,9.78,20.75,10.66,19.13,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
National Institute of Industrial Engineering,,,Maharashtra,India,,,,,,598000,104000,9.0,9.0,9.0,9.0,9.0,9.3,8.6,,National Institute of Industrial Engineering ,Maharashtra,"5,98,000","1,04,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Army Institute of Technology,,,Maharashtra,India,,,,,,180197,120560,8.3,8.0,7.6,7.9,8.5,8.7,9.0,,Army Institute of Technology ,Maharashtra,"1,80,197","1,20,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Bharati Vidyapeeth Deemed University,,,Maharashtra,India,,,,,,120000,50000,7.8,8.1,7.9,8.1,6.8,7.7,8.2,,Bharati Vidyapeeth Deemed University ,Maharashtra,"1,20,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Veermata Jijabai Technological Institute,,,Maharashtra,India,,,,,,84051,83734,7.9,8.2,7.8,7.1,7.2,8.7,8.4,,Veermata Jijabai Technological Institute ,Maharashtra,"84,051","83,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
GH Raisoni College of Engineering,,,Maharashtra,India,,,,,,560000,132000,8.4,8.5,8.4,8.5,8.0,8.0,8.8,,GH Raisoni College of Engineering ,Maharashtra,"5,60,000","1,32,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Mukesh Patel School of Technology Management and,,,Maharashtra,India,,,,,,452000,501500,8.2,8.1,7.8,8.7,8.0,8.1,8.3,,Mukesh Patel School of Technology Management and ,Maharashtra,"4,52,000","5,01,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Sardar Patel Institute of Technology,,,Maharashtra,India,,,,,,170000,168000,8.1,8.4,7.9,8.3,6.9,9.1,8.1,,Sardar Patel Institute of Technology ,Maharashtra,"1,70,000","1,68,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Shri Ramdeobaba College of Engineering and Management,,,Maharashtra,India,,,,,,145000,125000,8.1,8.3,8.0,7.9,7.6,8.3,8.2,,Shri Ramdeobaba College of Engineering and Management ,Maharashtra,"1,45,000","1,25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Rashtrasant Tukadoji Maharaj Nagpur University,,,Maharashtra,India,,,,,,33600,60000,7.5,8.0,7.7,7.9,7.2,6.9,7.4,,Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,"33,600","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Yeshwantrao Chavan College of Engineering,,,Maharashtra,India,,,,,,151801,153328,7.6,7.7,7.6,8.2,7.0,7.2,7.6,,Yeshwantrao Chavan College of Engineering ,Maharashtra,"1,51,801","1,53,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Walchand College of Engineering,,,Maharashtra,India,,,,,,84935,96550,8.3,8.4,8.3,8.4,7.3,8.8,8.4,,Walchand College of Engineering ,Maharashtra,"84,935","96,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
MIT World Peace University,,,Maharashtra,India,,,,,,310000,190000,8.0,8.1,8.0,8.5,7.0,7.7,8.4,,MIT World Peace University ,Maharashtra,"3,10,000","1,90,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Vishwakarma Institute of Information Technology,,,Maharashtra,India,,,,,,164000,78000,7.8,8.2,8.1,7.4,6.8,8.0,8.1,,Vishwakarma Institute of Information Technology ,Maharashtra,"1,64,000","78,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Ramrao Adik Institute of Technology,,,Maharashtra,India,,,,,,325000,150000,8.6,8.2,8.1,9.0,8.0,8.7,9.3,,Ramrao Adik Institute of Technology ,Maharashtra,"3,25,000","1,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Sardar Patel College of Engineering,,,Maharashtra,India,,,,,,170000,168000,8.0,8.3,7.9,8.0,7.2,8.1,8.2,,Sardar Patel College of Engineering ,Maharashtra,"1,70,000","1,68,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
K. J. Somaiya College of Engineering,,,Maharashtra,India,,,,,,286000,196800,8.2,8.2,7.7,8.7,8.0,8.0,8.5,,K. J. Somaiya College of Engineering ,Maharashtra,"2,86,000","1,96,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
